Fecha;Recreo R70;Santo Tome
2022-01-01;-0.46;0.51
2022-01-02;-0.46;0.41
2022-01-03;-0.46;0.36
2022-01-04;-0.47;0.27
2022-01-05;-0.43;0.26
2022-01-06;-0.41;0.23
2022-01-07;-0.44;0.21
2022-01-08;-0.46;0.19
2022-01-09;-0.47;0.18
2022-01-10;-0.48;0.16
2022-01-11;-0.45;0.14
2022-01-12;-0.38;0.13
2022-01-13;-0.40;0.11
2022-01-14;-0.44;0.11
2022-01-15;-0.48;0.10
2022-01-16;-0.50;0.15
2022-01-17;-0.53;0.36
2022-01-18;-0.38;0.36
2022-01-19;-0.21;0.21
2022-01-20;0.13;0.28
2022-01-21;0.12;0.33
2022-01-22;-0.04;0.32
2022-01-23;-0.10;0.31
2022-01-24;0.06;0.18
2022-01-25;0.24;0.13
2022-01-26;0.89;0.16
2022-01-27;1.54;0.32
2022-01-28;1.34;0.35
2022-01-29;1.44;0.32
2022-01-30;1.90;0.44
2022-01-31;2.05;0.54
2022-02-01;1.97;0.54
2022-02-02;1.89;0.53
2022-02-03;1.68;0.57
2022-02-04;1.58;0.60
2022-02-05;1.30;0.57
2022-02-06;0.94;0.48
2022-02-07;0.64;0.38
2022-02-08;0.44;0.32
2022-02-09;0.29;0.26
2022-02-10;0.17;0.25
2022-02-11;0.06;0.22
2022-02-12;-0.03;0.24
2022-02-13;-0.12;0.19
2022-02-14;-0.20;0.17
2022-02-15;-0.17;0.18
2022-02-16;-0.16;0.19
2022-02-17;-0.17;0.34
2022-02-18;-0.15;0.46
2022-02-19;-0.16;0.54
2022-02-20;-0.17;0.56
2022-02-21;-0.17;0.56
2022-02-22;-0.16;0.54
2022-02-23;-0.16;0.53
2022-02-24;-0.16;0.50
2022-02-25;-0.17;0.53
2022-02-26;-0.17;0.51
2022-02-27;-0.17;0.47
2022-02-28;-0.16;0.58
2022-03-01;-0.16;0.51
2022-03-02;-0.17;0.49
2022-03-03;-0.17;0.52
2022-03-04;-0.17;0.58
2022-03-05;0.30;0.71
2022-03-06;0.80;0.92
2022-03-07;2.78;1.32
2022-03-08;3.04;1.45
2022-03-09;3.21;1.54
2022-03-10;3.67;1.74
2022-03-11;3.87;1.85
2022-03-12;4.10;1.92
2022-03-13;4.29;1.98
2022-03-14;4.37;2.01
2022-03-15;4.34;1.98
2022-03-16;4.07;1.95
2022-03-17;3.94;1.93
2022-03-18;3.77;1.90
2022-03-19;3.64;1.86
2022-03-20;3.46;1.79
2022-03-21;3.16;1.69
2022-03-22;2.51;1.52
2022-03-23;2.00;1.40
2022-03-24;1.95;1.35
2022-03-25;2.01;1.32
2022-03-26;2.05;1.36
2022-03-27;2.10;1.40
2022-03-28;2.11;1.45
2022-03-29;2.03;1.53
2022-03-30;1.82;1.64
2022-03-31;1.60;1.70
2022-04-01;1.39;1.78
2022-04-02;1.20;1.83
2022-04-03;1.12;1.84
2022-04-04;1.09;1.87
2022-04-05;1.09;1.89
2022-04-06;1.11;1.92
2022-04-07;1.14;1.95
2022-04-08;1.16;1.95
2022-04-09;0.83;1.95
2022-04-10;0.73;1.93
