latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-12.39663,-38.3395,303.78,0.63,0.72,2023-04-30,302,N,VIIRS,n,2.0NRT,287.03,1.23,N
-12.39538,-38.34563,300.91,0.63,0.72,2023-04-30,302,N,VIIRS,n,2.0NRT,286.85,1.23,N
-24.77993,-42.72871,302.43,0.64,0.72,2023-04-30,306,N,VIIRS,n,2.0NRT,285.67,1.99,N
-24.77332,-42.72659,314.92,0.64,0.72,2023-04-30,306,N,VIIRS,n,2.0NRT,286.27,1.99,N
8.00936,-56.91578,330.69,0.47,0.64,2023-04-30,438,N,VIIRS,n,2.0NRT,290.21,2.77,N
8.00992,-56.92019,313.63,0.47,0.64,2023-04-30,438,N,VIIRS,n,2.0NRT,290.38,2.77,N
-8.35297,-45.76898,302.25,0.51,0.41,2023-04-30,440,N,VIIRS,n,2.0NRT,289.93,0.92,N
-8.34849,-45.77305,312.58,0.51,0.41,2023-04-30,440,N,VIIRS,n,2.0NRT,289.69,0.92,N
-8.33615,-44.25159,307.26,0.42,0.45,2023-04-30,440,N,VIIRS,n,2.0NRT,281.06,1.11,N
-8.33561,-44.25542,299.52,0.42,0.45,2023-04-30,440,N,VIIRS,n,2.0NRT,281.01,1.49,N
-6.57715,-51.09946,301.33,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,289.06,0.76,N
-6.57657,-51.10312,309.31,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,288.86,0.76,N
-6.57374,-51.09888,324.67,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,289.56,7.99,N
-6.57316,-51.10253,351.33,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,291.15,7.99,N
-6.57258,-51.10615,319.29,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,288.77,1.67,N
-6.57033,-51.09831,304.17,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,288.77,7.99,N
-6.56975,-51.10194,331.12,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,288.72,7.99,N
-6.56918,-51.10556,305.76,0.41,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,288.72,1.67,N
-5.52508,-37.48338,325.59,0.55,0.68,2023-04-30,440,N,VIIRS,n,2.0NRT,288.27,2.8,N
-5.52242,-37.48135,321.75,0.55,0.68,2023-04-30,440,N,VIIRS,n,2.0NRT,288.27,2.21,N
-4.8765,-47.40808,306.14,0.4,0.37,2023-04-30,440,N,VIIRS,n,2.0NRT,289.63,0.58,N
-3.59332,-38.85779,308.92,0.41,0.61,2023-04-30,440,N,VIIRS,n,2.0NRT,282.16,1.87,N
-3.59276,-38.86155,307.37,0.41,0.61,2023-04-30,440,N,VIIRS,n,2.0NRT,281.74,2.17,N
-3.48668,-51.18829,318.95,0.43,0.38,2023-04-30,440,N,VIIRS,n,2.0NRT,283.6,1.32,N
-3.48316,-51.18774,305.29,0.43,0.38,2023-04-30,440,N,VIIRS,n,2.0NRT,284.64,1.32,N
-14.32077,-46.80142,312.14,0.53,0.42,2023-04-30,442,N,VIIRS,n,2.0NRT,290.71,1.99,N
-13.60401,-49.48762,311.71,0.4,0.37,2023-04-30,442,N,VIIRS,n,2.0NRT,293.57,1.21,N
