Fecha;(1) Presion Atmosferica (hPa);Lluvia Caida (mm);(6) Vel. Viento (Km/h);(8) Dir. Viento (grados);(9) Vel. Rafaga (Km/h);(10) Dir. Rafaga (grados);(11) Temperatura de Aire exterior (°C);(12) Humedad de Aire exterior (%);(15) Radiacion Solar (w/m2);(16) Bateria ADQ (Vcc)
01-01-2023 00:00;1003.00;0.00;0.40;87.00;3.30;83.00;27.60;70.00;0.00;6.52
01-01-2023 00:15;1002.90;0.00;0.00;68.00;4.40;80.00;27.90;64.00;0.00;6.52
01-01-2023 00:30;1002.50;0.00;3.10;74.00;8.80;81.00;28.40;59.00;0.00;6.52
01-01-2023 00:45;1002.20;0.00;5.40;77.00;13.10;89.00;28.60;55.00;0.00;6.52
01-01-2023 01:00;1002.30;0.00;2.90;41.00;16.40;102.00;29.30;51.00;0.00;6.52
01-01-2023 01:15;1002.20;0.00;3.70;54.00;14.20;24.00;28.80;54.00;0.00;6.52
01-01-2023 01:30;1002.10;0.00;2.60;61.00;10.90;5.00;28.20;57.00;0.00;6.52
01-01-2023 01:45;1001.80;0.00;2.30;93.00;8.80;11.00;27.80;60.00;0.00;6.52
01-01-2023 02:00;1001.60;0.00;1.10;72.00;6.60;129.00;27.30;61.00;0.00;6.52
01-01-2023 02:15;1001.60;0.00;0.90;101.00;4.40;105.00;27.10;63.00;0.00;6.52
01-01-2023 02:30;1001.60;0.00;0.30;72.00;3.30;42.00;27.00;63.00;0.00;6.51
01-01-2023 02:45;1001.50;0.00;1.30;70.00;5.50;76.00;27.10;61.00;0.00;6.51
01-01-2023 03:00;1001.40;0.00;0.50;49.00;3.30;56.00;27.10;58.00;0.00;6.51
01-01-2023 03:15;1001.20;0.00;0.20;55.00;2.20;55.00;27.10;58.00;0.00;6.51
01-01-2023 03:30;1001.10;0.00;0.10;46.00;2.20;72.00;27.00;58.00;0.00;6.51
01-01-2023 03:45;1000.70;0.00;0.00;55.00;3.30;48.00;26.90;57.00;0.00;6.51
01-01-2023 04:00;1000.40;0.00;1.00;57.00;8.80;343.00;26.90;57.00;0.00;6.51
01-01-2023 04:15;1000.30;0.00;1.70;37.00;9.80;59.00;26.80;58.00;0.00;6.50
01-01-2023 04:30;1000.30;0.00;0.90;41.00;5.50;31.00;26.70;56.00;0.00;6.50
01-01-2023 04:45;1000.20;0.00;1.10;50.00;5.50;67.00;26.90;55.00;0.00;6.50
01-01-2023 05:00;1000.60;0.00;0.10;44.00;3.30;62.00;27.10;53.00;0.00;6.50
01-01-2023 05:15;1002.90;0.00;10.60;243.00;19.50;255.00;27.10;59.00;0.00;6.50
01-01-2023 05:30;1003.50;0.00;4.70;255.00;17.50;239.00;27.70;53.00;0.00;6.50
01-01-2023 05:45;1004.30;0.00;5.90;240.00;16.40;216.00;28.20;51.00;0.00;6.50
01-01-2023 06:00;1004.70;0.00;6.90;247.00;14.20;224.00;28.30;52.00;0.00;6.50
01-01-2023 06:15;1004.80;0.00;5.60;236.00;17.50;244.00;27.50;57.00;0.00;6.50
01-01-2023 06:30;1005.60;0.00;4.80;243.00;13.10;254.00;26.50;66.00;0.00;6.49
01-01-2023 06:45;1006.20;0.50;11.70;241.00;30.30;246.00;23.50;99.00;0.00;6.49
01-01-2023 07:00;1006.40;0.00;7.00;240.00;18.60;234.00;23.50;99.00;0.00;6.48
01-01-2023 07:15;1006.10;0.00;5.80;234.00;16.40;214.00;23.30;99.00;0.00;6.48
01-01-2023 07:30;1006.20;0.25;2.90;238.00;8.80;240.00;22.60;99.00;0.00;6.48
01-01-2023 07:45;1006.10;0.75;1.70;230.00;9.80;236.00;22.30;99.00;0.00;6.47
01-01-2023 08:00;1006.20;0.00;0.30;240.00;3.30;231.00;22.30;99.00;5.00;6.47
01-01-2023 08:15;1006.40;0.00;0.00;255.00;3.30;225.00;22.30;99.00;11.00;6.47
01-01-2023 08:30;1006.40;0.00;0.00;242.00;0.10;237.00;22.50;99.00;0.00;6.47
01-01-2023 08:45;1006.10;0.00;0.00;136.00;0.00;200.00;22.70;99.00;11.00;6.47
01-01-2023 09:00;1005.80;0.50;0.00;88.00;0.00;87.00;22.90;99.00;16.00;6.47
01-01-2023 09:15;1005.60;0.00;0.40;113.00;3.30;119.00;22.70;99.00;40.00;6.47
01-01-2023 09:30;1005.10;0.00;0.20;103.00;4.40;117.00;22.80;99.00;23.00;6.47
01-01-2023 09:45;1004.90;0.00;1.10;97.00;6.60;67.00;22.90;98.00;24.00;6.47
01-01-2023 10:00;1004.50;0.00;3.80;100.00;10.90;80.00;23.30;99.00;94.00;6.51
01-01-2023 10:15;1004.50;0.00;6.10;83.00;13.10;72.00;23.80;99.00;200.00;6.57
01-01-2023 10:30;1003.90;0.25;6.70;79.00;13.10;88.00;23.90;99.00;142.00;6.55
01-01-2023 10:45;1002.90;0.00;9.70;82.00;15.30;87.00;23.90;99.00;215.00;6.65
01-01-2023 11:00;1002.50;0.00;9.30;86.00;16.40;79.00;24.90;99.00;331.00;6.77
01-01-2023 11:15;1002.80;0.00;8.10;92.00;17.50;68.00;26.40;91.00;657.00;6.78
01-01-2023 11:30;1002.10;0.00;10.20;80.00;16.40;108.00;24.90;98.00;96.00;6.65
01-01-2023 11:45;1004.20;0.00;8.80;170.00;26.70;246.00;24.20;98.00;42.00;6.60
01-01-2023 12:00;1003.70;0.00;8.40;194.00;33.90;238.00;25.30;82.00;4.00;6.57
01-01-2023 12:15;1005.90;0.25;3.80;274.00;15.30;274.00;24.50;98.00;16.00;6.54
01-01-2023 12:30;1005.90;0.50;3.80;240.00;13.10;215.00;23.00;99.00;0.00;6.51
01-01-2023 12:45;1005.70;0.50;4.90;232.00;10.90;216.00;22.50;99.00;15.00;6.49
01-01-2023 13:00;1004.50;0.50;4.80;216.00;16.40;247.00;22.50;99.00;54.00;6.49
01-01-2023 13:15;1004.80;0.00;6.90;215.00;17.50;239.00;23.40;99.00;377.00;6.83
01-01-2023 13:30;1004.80;0.00;9.30;218.00;20.40;250.00;25.00;99.00;1042.00;6.86
01-01-2023 13:45;1005.00;0.00;10.10;227.00;22.20;262.00;24.40;99.00;577.00;6.83
01-01-2023 14:00;1005.10;0.00;11.50;236.00;25.80;244.00;22.70;99.00;124.00;6.67
01-01-2023 14:15;1004.30;0.25;4.40;202.00;23.10;210.00;22.30;99.00;32.00;6.62
01-01-2023 14:30;1004.90;3.50;1.90;175.00;10.90;98.00;22.00;99.00;36.00;6.60
01-01-2023 14:45;1005.00;1.00;1.90;194.00;6.60;224.00;21.70;99.00;62.00;6.58
01-01-2023 15:00;1004.40;0.25;1.60;130.00;6.60;136.00;22.10;99.00;76.00;6.57
01-01-2023 15:15;1003.70;0.00;3.20;126.00;8.80;156.00;21.90;99.00;89.00;6.57
01-01-2023 15:30;1004.30;0.25;1.00;143.00;7.70;116.00;22.30;99.00;147.00;6.58
01-01-2023 15:45;1004.50;0.00;2.80;86.00;5.50;82.00;22.90;99.00;219.00;6.72
01-01-2023 16:00;1004.60;0.00;2.80;59.00;10.90;66.00;23.20;97.00;268.00;6.71
01-01-2023 16:15;1004.30;0.00;3.00;78.00;8.80;82.00;23.30;98.00;200.00;6.72
01-01-2023 16:30;1004.30;0.00;2.30;139.00;7.70;73.00;23.50;98.00;231.00;6.70
01-01-2023 16:45;1004.20;0.00;2.30;198.00;10.90;229.00;23.70;99.00;196.00;6.75
01-01-2023 17:00;1003.90;0.00;3.20;203.00;7.70;160.00;24.70;99.00;413.00;6.78
01-01-2023 17:15;1003.80;0.00;4.90;226.00;12.00;210.00;25.10;99.00;370.00;6.85
01-01-2023 17:30;1003.70;0.00;6.40;238.00;17.50;273.00;25.40;99.00;429.00;6.83
01-01-2023 17:45;1003.80;0.00;7.30;226.00;13.10;216.00;26.40;99.00;540.00;6.86
01-01-2023 18:00;1003.70;0.00;7.00;229.00;15.30;230.00;25.60;98.00;395.00;6.76
01-01-2023 18:15;1003.90;0.00;7.40;228.00;16.40;205.00;25.80;99.00;354.00;6.76
01-01-2023 18:30;1004.00;0.00;6.30;226.00;15.30;239.00;25.20;99.00;214.00;6.69
01-01-2023 18:45;1004.10;0.00;8.40;233.00;16.40;214.00;25.30;99.00;239.00;6.67
01-01-2023 19:00;1004.50;0.00;7.90;231.00;14.20;235.00;24.60;99.00;217.00;6.63
01-01-2023 19:15;1004.40;0.00;5.70;239.00;13.10;225.00;25.10;99.00;198.00;6.61
01-01-2023 19:30;1004.60;0.00;3.70;223.00;10.90;172.00;24.90;99.00;151.00;6.60
01-01-2023 19:45;1004.50;0.00;2.60;228.00;10.90;201.00;24.30;99.00;100.00;6.59
