Fecha	Variable	Lectura	Unidad
01-01-2023 00:00	Precipitación acumulada	0	mm
01-01-2023 00:10	Precipitación acumulada	0	mm
01-01-2023 00:20	Precipitación acumulada	0	mm
01-01-2023 00:30	Precipitación acumulada	0	mm
01-01-2023 00:40	Precipitación acumulada	0	mm
01-01-2023 00:50	Precipitación acumulada	0	mm
01-01-2023 01:00	Precipitación acumulada	0	mm
01-01-2023 01:10	Precipitación acumulada	0	mm
01-01-2023 01:20	Precipitación acumulada	0	mm
01-01-2023 01:30	Precipitación acumulada	0	mm
01-01-2023 01:40	Precipitación acumulada	0	mm
01-01-2023 01:50	Precipitación acumulada	0	mm
01-01-2023 02:00	Precipitación acumulada	0	mm
01-01-2023 02:10	Precipitación acumulada	0	mm
01-01-2023 02:20	Precipitación acumulada	0	mm
01-01-2023 02:30	Precipitación acumulada	0	mm
01-01-2023 02:40	Precipitación acumulada	0	mm
01-01-2023 02:50	Precipitación acumulada	0	mm
01-01-2023 03:00	Precipitación acumulada	0	mm
01-01-2023 03:10	Precipitación acumulada	0	mm
01-01-2023 03:20	Precipitación acumulada	0	mm
01-01-2023 03:30	Precipitación acumulada	0	mm
01-01-2023 03:40	Precipitación acumulada	0	mm
01-01-2023 03:50	Precipitación acumulada	0	mm
01-01-2023 04:00	Precipitación acumulada	0	mm
01-01-2023 04:10	Precipitación acumulada	0	mm
01-01-2023 04:20	Precipitación acumulada	0	mm
01-01-2023 04:30	Precipitación acumulada	0	mm
01-01-2023 04:40	Precipitación acumulada	0	mm
01-01-2023 04:50	Precipitación acumulada	0	mm
01-01-2023 05:00	Precipitación acumulada	0	mm
01-01-2023 05:10	Precipitación acumulada	0	mm
01-01-2023 05:20	Precipitación acumulada	0	mm
01-01-2023 05:30	Precipitación acumulada	0	mm
01-01-2023 05:40	Precipitación acumulada	0	mm
01-01-2023 05:50	Precipitación acumulada	0	mm
01-01-2023 06:00	Precipitación acumulada	0	mm
01-01-2023 06:10	Precipitación acumulada	0.25	mm
01-01-2023 06:20	Precipitación acumulada	0	mm
01-01-2023 06:30	Precipitación acumulada	0.25	mm
01-01-2023 06:40	Precipitación acumulada	0	mm
01-01-2023 06:50	Precipitación acumulada	0	mm
01-01-2023 07:00	Precipitación acumulada	0.25	mm
