datetime;bateria;nf;cmca;cangilones
2023-03-15 00:00:04;84.0;58.0;-8.0;0.0
2023-03-15 00:01:04;84.0;60.0;-10.0;0.0
2023-03-15 00:02:04;84.0;60.0;-10.0;0.0
2023-03-15 00:03:04;84.0;58.0;-8.0;0.0
2023-03-15 00:04:05;84.0;58.0;-8.0;0.0
2023-03-15 00:05:05;84.0;58.0;-8.0;0.0
2023-03-15 00:06:05;84.0;60.0;-10.0;0.0
2023-03-15 00:07:05;84.0;58.0;-8.0;0.0
2023-03-15 00:08:01;84.0;60.0;-10.0;0.0
2023-03-15 00:09:06;84.0;60.0;-10.0;0.0
2023-03-15 00:10:02;84.0;60.0;-10.0;0.0
2023-03-15 00:11:02;84.0;58.0;-8.0;0.0
2023-03-15 00:12:02;84.0;59.0;-9.0;0.0
2023-03-15 00:13:02;84.0;60.0;-10.0;0.0
2023-03-15 00:14:02;84.0;60.0;-10.0;0.0
2023-03-15 00:15:03;84.0;59.0;-9.0;0.0
2023-03-15 00:16:03;84.0;59.0;-9.0;0.0
2023-03-15 00:17:03;84.0;60.0;-10.0;0.0
2023-03-15 00:18:03;84.0;60.0;-10.0;0.0
2023-03-15 00:19:04;83.0;59.0;-9.0;0.0
2023-03-15 00:20:04;84.0;60.0;-10.0;0.0
2023-03-15 00:21:04;84.0;59.0;-9.0;0.0
2023-03-15 00:22:04;84.0;59.0;-9.0;0.0
2023-03-15 00:23:04;84.0;60.0;-10.0;0.0
2023-03-15 00:24:05;84.0;59.0;-9.0;0.0
2023-03-15 00:25:05;84.0;60.0;-10.0;0.0
2023-03-15 00:26:05;84.0;60.0;-10.0;0.0
2023-03-15 00:27:05;84.0;59.0;-9.0;0.0
2023-03-15 00:28:06;84.0;59.0;-9.0;0.0
2023-03-15 00:29:01;84.0;59.0;-9.0;0.0
2023-03-15 00:30:02;84.0;60.0;-10.0;0.0
2023-03-15 00:31:02;84.0;59.0;-9.0;0.0
2023-03-15 00:32:02;84.0;59.0;-9.0;0.0
2023-03-15 00:33:02;84.0;59.0;-9.0;0.0
2023-03-15 00:34:02;84.0;59.0;-9.0;0.0
2023-03-15 00:35:03;84.0;60.0;-10.0;0.0
2023-03-15 00:36:03;84.0;60.0;-10.0;0.0
2023-03-15 00:37:03;84.0;60.0;-10.0;0.0
2023-03-15 00:38:03;84.0;61.0;-11.0;0.0
2023-03-15 00:39:04;84.0;59.0;-9.0;0.0
2023-03-15 00:40:04;84.0;59.0;-9.0;0.0
2023-03-15 00:41:04;84.0;61.0;-11.0;0.0
2023-03-15 00:42:04;84.0;61.0;-11.0;0.0
2023-03-15 00:43:04;84.0;60.0;-10.0;0.0
2023-03-15 00:44:05;84.0;61.0;-11.0;0.0
2023-03-15 00:45:05;84.0;60.0;-10.0;0.0
2023-03-15 00:46:05;84.0;59.0;-9.0;0.0
2023-03-15 00:47:05;84.0;60.0;-10.0;0.0
2023-03-15 00:48:05;84.0;61.0;-11.0;0.0
2023-03-15 00:49:01;84.0;61.0;-11.0;0.0
2023-03-15 00:50:06;84.0;61.0;-11.0;0.0
2023-03-15 00:51:02;84.0;59.0;-9.0;0.0
2023-03-15 00:52:02;84.0;59.0;-9.0;0.0
2023-03-15 00:53:02;83.0;61.0;-11.0;0.0
2023-03-15 00:54:02;83.0;61.0;-11.0;0.0
2023-03-15 00:55:03;83.0;61.0;-11.0;0.0
2023-03-15 00:56:03;84.0;61.0;-11.0;0.0
2023-03-15 00:57:03;83.0;60.0;-10.0;0.0
2023-03-15 00:58:03;83.0;61.0;-11.0;0.0
2023-03-15 00:59:03;83.0;60.0;-10.0;0.0
2023-03-15 01:00:04;84.0;60.0;-10.0;0.0
2023-03-15 01:01:04;84.0;60.0;-10.0;0.0
2023-03-15 01:02:04;84.0;61.0;-11.0;0.0
2023-03-15 01:03:04;84.0;61.0;-11.0;0.0
2023-03-15 01:04:05;83.0;60.0;-10.0;0.0
2023-03-15 01:05:05;83.0;61.0;-11.0;0.0
2023-03-15 01:06:05;83.0;60.0;-10.0;0.0
