datetime;bateria;nf;cmca;cangilones
2023-07-23 03:15:51;100;250;350;0.0
2023-07-23 03:30:47;100;250;350;0.0
2023-07-23 03:45:47;100;249;351;0.0
2023-07-23 04:00:47;100;249;351;0.0
2023-07-23 04:15:47;100;249;351;0.0
2023-07-23 04:30:47;100;250;350;0.0
2023-07-23 04:45:47;100;249;351;0.0
2023-07-23 05:00:47;100;249;351;0.0
2023-07-23 05:15:47;100;249;351;0.0
2023-07-23 05:30:46;100;249;351;0.0
2023-07-23 05:45:49;100;250;350;0.0
2023-07-23 06:00:48;100;249;351;0.0
2023-07-23 06:15:47;100;250;350;0.0
2023-07-23 06:30:45;100;250;350;0.0
2023-07-23 06:45:48;100;250;350;0.0
2023-07-23 07:00:46;100;250;350;0.0
2023-07-23 07:15:49;100;250;350;0.0
2023-07-23 07:30:47;100;250;350;0.0
2023-07-23 07:45:45;100;250;350;0.0
2023-07-23 08:00:48;100;250;350;0.0
2023-07-23 08:15:46;100;249;351;0.0
2023-07-23 08:30:48;100;249;351;0.0
2023-07-23 08:45:47;100;249;351;0.0
2023-07-23 09:00:46;100;249;351;0.0
2023-07-23 09:15:49;100;249;351;0.0
2023-07-23 09:30:48;100;251;349;0.0
2023-07-23 09:45:48;100;250;350;0.0
2023-07-23 10:00:47;100;250;350;0.0
2023-07-23 10:15:47;100;250;350;0.0
2023-07-23 10:30:47;100;250;350;0.0
2023-07-23 10:45:47;100;249;351;0.0
2023-07-23 11:00:49;100;251;349;0.0
2023-07-23 11:15:50;100;250;350;0.0
2023-07-23 11:30:52;100;250;350;0.0
2023-07-23 11:45:51;100;251;349;0.0
2023-07-23 12:00:49;100;251;349;0.0
2023-07-23 12:15:51;100;250;350;0.0
2023-07-23 12:30:49;100;250;350;0.0
2023-07-23 12:45:51;100;250;350;0.0
2023-07-23 13:00:50;100;249;351;0.0
2023-07-23 13:15:52;100;249;351;0.0
2023-07-23 13:30:51;100;249;351;0.0
2023-07-23 13:45:50;100;250;350;0.0
2023-07-23 14:00:53;100;249;351;0.0
2023-07-23 14:15:52;100;249;351;0.0
2023-07-23 14:30:51;100;250;350;0.0
2023-07-23 14:45:49;100;250;350;0.0
2023-07-23 15:00:52;100;249;351;0.0
2023-07-23 15:15:51;100;250;350;0.0
2023-07-23 15:30:49;100;250;350;0.0
2023-07-23 15:45:52;100;249;351;0.0
2023-07-23 16:00:50;100;249;351;0.0
2023-07-23 16:15:52;100;249;351;0.0
2023-07-23 16:30:50;100;250;350;0.0
2023-07-23 16:45:51;100;249;351;0.0
2023-07-23 17:00:49;100;250;350;0.0
2023-07-23 17:15:51;100;250;350;0.0
2023-07-23 17:30:48;100;249;351;0.0
2023-07-23 17:45:49;100;249;351;0.0
2023-07-23 18:00:50;100;250;350;0.0
2023-07-23 18:15:51;100;250;350;0.0
2023-07-23 18:30:47;100;249;351;0.0
2023-07-23 18:45:48;100;249;351;0.0
2023-07-23 19:00:48;100;250;350;0.0
2023-07-23 19:15:48;100;249;351;0.0
2023-07-23 19:30:48;100;250;350;0.0
2023-07-23 19:45:48;100;250;350;0.0
2023-07-23 20:00:48;100;250;350;0.0
2023-07-23 20:15:48;100;249;351;0.0
2023-07-23 20:30:48;100;250;350;0.0
2023-07-23 20:45:48;100;250;350;0.0
2023-07-23 21:00:48;100;250;350;0.0
2023-07-23 21:15:49;100;249;351;0.0
2023-07-23 21:30:49;100;249;351;0.0
2023-07-23 21:45:49;100;250;350;0.0
2023-07-23 22:00:49;100;249;351;0.0
2023-07-23 22:15:49;100;250;350;0.0
2023-07-23 22:30:50;100;249;351;0.0
2023-07-23 22:45:50;100;249;351;0.0
2023-07-23 23:00:50;100;250;350;0.0
2023-07-23 23:15:50;100;250;350;0.0
2023-07-23 23:30:50;100;250;350;0.0
2023-07-23 23:45:50;100;249;351;0.0
2023-07-24 00:00:50;100;249;351;0.0
2023-07-24 00:15:50;100;250;350;0.0
2023-07-24 00:30:49;100;250;350;0.0
2023-07-24 00:45:49;100;250;350;0.0
2023-07-24 01:00:49;100;250;350;0.0
2023-07-24 01:15:49;100;249;351;0.0
2023-07-24 01:30:48;100;250;350;0.0
2023-07-24 01:45:48;100;249;351;0.0
2023-07-24 02:00:47;100;249;351;0.0
2023-07-24 02:15:47;100;250;350;0.0
2023-07-24 02:30:46;100;250;350;0.0
2023-07-24 02:45:50;100;250;350;0.0
2023-07-24 03:00:49;100;250;350;0.0
2023-07-24 03:15:49;100;250;350;0.0
2023-07-24 03:30:48;100;250;350;0.0
2023-07-24 03:45:47;100;250;350;0.0
2023-07-24 04:00:46;100;250;350;0.0
2023-07-24 04:15:49;100;250;350;0.0
2023-07-24 04:30:48;100;249;351;0.0
2023-07-24 04:45:47;100;249;351;0.0
2023-07-24 05:00:46;100;249;351;0.0
2023-07-24 05:15:49;100;249;351;0.0
2023-07-24 05:30:47;100;249;351;0.0
2023-07-24 05:45:46;100;250;350;0.0
2023-07-24 06:00:49;100;249;351;0.0
2023-07-24 06:15:47;100;248;352;0.0
2023-07-24 06:30:46;100;250;350;0.0
2023-07-24 06:45:49;100;248;352;0.0
2023-07-24 07:00:47;100;250;350;0.0
2023-07-24 07:15:46;100;249;351;0.0
2023-07-24 07:30:48;100;249;351;0.0
2023-07-24 07:45:47;100;250;350;0.0
2023-07-24 08:00:45;100;248;352;0.0
2023-07-24 08:15:48;100;248;352;0.0
2023-07-24 08:30:47;100;250;350;0.0
2023-07-24 08:45:45;100;249;351;0.0
2023-07-24 09:00:48;100;248;352;0.0
2023-07-24 09:15:47;100;249;351;0.0
2023-07-24 09:30:46;100;249;351;0.0
2023-07-24 09:45:49;100;250;350;0.0
2023-07-24 10:00:48;100;249;351;0.0
2023-07-24 10:15:47;100;250;350;0.0
2023-07-24 10:30:46;100;250;350;0.0
2023-07-24 10:45:50;100;249;351;0.0
2023-07-24 11:00:49;100;250;350;0.0
2023-07-24 11:15:49;100;250;350;0.0
2023-07-24 11:30:48;100;250;350;0.0
2023-07-24 11:45:48;100;249;351;0.0
2023-07-24 12:00:48;100;250;350;0.0
2023-07-24 12:15:48;100;249;351;0.0
2023-07-24 12:30:48;100;250;350;0.0
2023-07-24 12:45:48;100;249;351;0.0
2023-07-24 13:00:48;100;249;351;0.0
2023-07-24 13:11:10;100;250;350;0.0
2023-07-24 13:15:14;100;249;351;0.0
2023-07-24 13:30:52;100;249;351;0.0
2023-07-24 13:45:48;100;249;351;0.0
2023-07-24 14:00:49;100;250;350;0.0
2023-07-24 14:15:50;100;250;350;0.0
2023-07-24 14:30:51;100;249;351;0.0
2023-07-24 14:45:47;100;250;350;0.0
2023-07-24 15:00:48;100;249;351;0.0
2023-07-24 15:15:49;100;249;351;0.0
2023-07-24 15:30:49;100;249;351;0.0
2023-07-24 15:45:49;100;250;350;0.0
2023-07-24 16:00:49;100;249;351;0.0
2023-07-24 16:15:48;100;249;351;0.0
2023-07-24 16:30:48;100;249;351;0.0
2023-07-24 16:45:48;100;249;351;0.0
2023-07-24 17:00:48;100;250;350;0.0
2023-07-24 17:15:47;100;249;351;0.0
2023-07-24 17:30:47;100;249;351;0.0
2023-07-24 17:45:46;100;250;350;0.0
2023-07-24 18:00:50;100;249;351;0.0
2023-07-24 18:15:49;100;249;351;0.0
2023-07-24 18:30:47;100;249;351;0.0
2023-07-24 18:45:46;100;249;351;0.0
2023-07-24 19:00:49;100;249;351;0.0
2023-07-24 19:15:47;100;249;351;0.0
2023-07-24 19:30:46;100;251;349;0.0
2023-07-24 19:45:49;100;249;351;0.0
2023-07-24 20:00:47;100;251;349;0.0
2023-07-24 20:15:45;100;249;351;0.0
2023-07-24 20:30:48;100;249;351;0.0
2023-07-24 20:45:46;100;251;349;0.0
2023-07-24 21:00:49;100;251;349;0.0
2023-07-24 21:15:47;100;249;351;0.0
2023-07-24 21:30:45;100;249;351;0.0
2023-07-24 21:45:47;100;250;350;0.0
2023-07-24 22:00:46;100;250;350;0.0
2023-07-24 22:15:48;100;249;351;0.0
2023-07-24 22:30:46;100;251;349;0.0
2023-07-24 22:45:48;100;251;349;0.0
2023-07-24 23:00:47;100;250;350;0.0
2023-07-24 23:15:45;100;251;349;0.0
2023-07-24 23:30:47;100;250;350;0.0
2023-07-24 23:45:45;100;250;350;0.0
2023-07-25 00:00:48;100;249;351;0.0
2023-07-25 00:15:46;100;249;351;0.0
2023-07-25 00:30:48;100;249;351;0.0
2023-07-25 00:45:46;100;250;350;0.0
2023-07-25 01:00:48;100;249;351;0.0
2023-07-25 01:15:47;100;250;350;0.0
2023-07-25 01:30:45;100;249;351;0.0
2023-07-25 01:45:47;100;250;350;0.0
2023-07-25 02:00:45;100;250;350;0.0
2023-07-25 02:15:47;100;249;351;0.0
2023-07-25 02:30:45;100;249;351;0.0
2023-07-25 02:45:48;100;249;351;0.0
2023-07-25 03:00:45;100;249;351;0.0
2023-07-25 03:15:48;100;249;351;0.0
2023-07-25 03:30:45;100;250;350;0.0
2023-07-25 03:45:47;100;249;351;0.0
2023-07-25 04:00:45;100;249;351;0.0
2023-07-25 04:15:47;100;250;350;0.0
2023-07-25 04:30:45;100;250;350;0.0
2023-07-25 04:45:47;100;249;351;0.0
2023-07-25 05:00:45;100;249;351;0.0
2023-07-25 05:15:47;100;249;351;0.0
2023-07-25 05:30:45;100;248;352;0.0
2023-07-25 05:45:47;100;250;350;0.0
2023-07-25 06:00:44;100;250;350;0.0
