datetime;bateria;nf;cmca
2023-04-12 11:30:31;90;288;62
2023-04-12 12:03:22;92;283;67
2023-04-12 12:33:02;92;281;69
2023-04-12 13:03:03;93;278;72
2023-04-12 13:33:04;94;275;75
2023-04-12 14:03:04;94;272;78
2023-04-12 14:33:00;94;268;82
2023-04-12 15:03:02;94;266;84
2023-04-12 15:33:00;94;263;87
2023-04-12 16:02:59;94;260;90
2023-04-12 16:32:57;94;257;93
2023-04-12 17:02:57;94;255;95
2023-04-12 17:32:53;94;252;98
2023-04-12 18:02:57;94;249;101
2023-04-12 18:32:56;94;247;103
2023-04-12 19:02:54;94;244;106
2023-04-12 19:32:52;94;243;107
2023-04-12 20:02:53;94;241;109
2023-04-12 20:32:50;94;241;109
2023-04-12 21:02:51;94;239;111
2023-04-12 21:32:51;94;239;111
2023-04-12 22:02:51;94;238;112
2023-04-12 22:32:50;94;238;112
2023-04-12 23:02:49;94;238;112
2023-04-12 23:32:49;94;238;112
2023-04-13 00:02:53;94;237;113
2023-04-13 00:32:52;94;237;113
2023-04-13 01:02:50;94;237;113
2023-04-13 01:32:48;94;237;113
2023-04-13 02:02:50;94;238;112
2023-04-13 02:32:49;94;238;112
2023-04-13 03:02:51;93;237;113
2023-04-13 03:32:50;93;238;112
2023-04-13 04:02:48;93;238;112
2023-04-13 04:32:50;93;238;112
2023-04-13 05:02:48;93;238;112
2023-04-13 05:32:50;93;238;112
2023-04-13 06:02:48;93;238;112
2023-04-13 06:32:50;93;238;112
2023-04-13 07:02:48;93;238;112
2023-04-13 07:32:49;93;238;112
2023-04-13 08:02:51;93;238;112
2023-04-13 08:32:49;93;238;112
2023-04-13 09:02:53;94;239;111
2023-04-13 09:32:56;94;239;111
2023-04-13 10:02:56;94;239;111
2023-04-13 10:32:54;94;239;111
2023-04-13 11:02:52;94;239;111
2023-04-13 11:32:56;95;239;111
2023-04-13 12:02:57;95;239;111
2023-04-13 12:32:59;94;239;111
2023-04-13 13:02:59;95;239;111
2023-04-13 13:33:00;95;239;111
2023-04-13 14:33:20;95;239;111
2023-04-13 15:03:01;95;239;111
2023-04-13 15:33:03;95;239;111
2023-04-13 16:03:01;95;239;111
2023-04-13 16:33:03;95;239;111
2023-04-13 17:02:59;95;239;111
2023-04-13 17:32:58;95;240;110
2023-04-13 18:02:56;95;239;111
2023-04-13 18:32:55;95;240;110
2023-04-13 19:02:51;96;240;110
2023-04-13 19:32:50;95;240;110
2023-04-13 20:02:48;95;240;110
2023-04-13 20:32:51;95;239;111
2023-04-13 21:02:49;95;240;110
2023-04-13 21:32:52;95;240;110
2023-04-13 22:02:49;95;240;110
2023-04-13 22:32:51;95;240;110
2023-04-13 23:02:48;95;240;110
2023-04-13 23:32:49;95;240;110
2023-04-14 00:02:46;95;240;110
2023-04-14 00:32:48;95;240;110
2023-04-14 01:02:49;95;240;110
2023-04-14 01:32:50;95;241;109
2023-04-14 02:02:45;95;240;110
2023-04-14 02:32:45;95;240;110
2023-04-14 03:02:45;95;241;109
2023-04-14 03:32:49;95;240;110
2023-04-14 04:02:46;94;240;110
2023-04-14 04:32:46;94;240;110
2023-04-14 05:02:47;94;240;110
2023-04-14 05:32:47;94;241;109
2023-04-14 06:02:47;94;240;110
2023-04-14 06:32:47;94;241;109
2023-04-14 07:02:46;94;241;109
2023-04-14 07:32:44;94;241;109
2023-04-14 08:02:47;94;241;109
2023-04-14 08:32:48;94;241;109
2023-04-14 09:02:51;94;241;109
2023-04-14 09:32:50;94;241;109
2023-04-14 10:02:51;94;241;109
2023-04-14 10:32:57;94;241;109
2023-04-14 11:02:57;94;241;109
2023-04-14 11:33:01;95;241;109
2023-04-14 12:00:23;94;241;109
2023-04-14 12:33:18;94;241;109
2023-04-14 13:02:57;94;241;109
2023-04-14 13:33:05;94;241;109
2023-04-14 14:03:03;94;241;109
2023-04-14 14:33:02;94;241;109
2023-04-14 15:03:01;94;241;109
2023-04-14 15:33:06;94;240;110
2023-04-14 16:03:03;94;241;109
2023-04-14 16:33:04;94;241;109
2023-04-14 17:03:05;94;240;110
2023-04-14 17:33:00;95;240;110
2023-04-14 18:02:56;95;241;109
2023-04-14 18:32:53;95;240;110
2023-04-14 19:02:50;95;240;110
2023-04-14 19:32:50;95;240;110
2023-04-14 20:02:49;95;240;110
2023-04-14 20:32:48;95;240;110
2023-04-14 21:02:51;95;240;110
2023-04-14 21:32:51;94;240;110
2023-04-14 22:02:51;94;241;109
2023-04-14 22:32:51;94;241;109
2023-04-14 23:02:51;94;240;110
2023-04-14 23:32:51;94;240;110
2023-04-15 00:02:50;94;240;110
2023-04-15 00:32:48;94;240;110
2023-04-15 01:02:50;94;240;110
2023-04-15 01:32:48;94;240;110
2023-04-15 02:02:50;94;240;110
2023-04-15 02:32:47;94;240;110
2023-04-15 03:02:48;94;240;110
2023-04-15 03:32:49;94;240;110
2023-04-15 04:02:50;94;241;109
2023-04-15 04:32:46;94;241;109
2023-04-15 05:02:47;94;240;110
2023-04-15 05:32:48;94;240;110
2023-04-15 06:02:48;94;240;110
2023-04-15 06:32:47;94;241;109
2023-04-15 07:02:47;94;241;109
2023-04-15 07:32:47;94;240;110
2023-04-15 08:02:47;94;241;109
2023-04-15 08:32:49;94;241;109
2023-04-15 09:02:54;94;241;109
2023-04-15 09:32:53;94;241;109
2023-04-15 10:02:58;94;241;109
2023-04-15 10:32:56;94;241;109
2023-04-15 11:02:57;94;241;109
2023-04-15 11:32:54;94;241;109
2023-04-15 12:02:58;94;241;109
2023-04-15 12:33:00;94;241;109
2023-04-15 13:03:04;94;241;109
2023-04-15 13:33:04;94;241;109
2023-04-15 14:03:06;94;241;109
2023-04-15 14:33:04;94;241;109
2023-04-15 15:03:07;94;241;109
2023-04-15 15:33:06;94;241;109
2023-04-15 16:03:05;94;241;109
2023-04-15 16:33:00;94;241;109
2023-04-15 17:03:02;95;241;109
2023-04-15 17:32:57;94;241;109
2023-04-15 18:02:58;95;241;109
2023-04-15 18:32:52;94;241;109
2023-04-15 19:02:55;94;241;109
2023-04-15 19:32:51;94;241;109
2023-04-15 20:02:52;94;241;109
2023-04-15 20:32:52;94;241;109
2023-04-15 21:02:52;94;241;109
2023-04-15 21:32:54;94;241;109
2023-04-15 22:02:51;94;242;108
2023-04-15 22:32:53;94;242;108
2023-04-15 23:02:54;94;242;108
2023-04-15 23:32:51;94;242;108
2023-04-16 00:02:52;94;242;108
2023-04-16 00:32:53;94;241;109
2023-04-16 01:02:53;94;242;108
2023-04-16 01:32:53;94;242;108
2023-04-16 02:02:53;94;242;108
2023-04-16 02:32:52;94;242;108
2023-04-16 03:02:52;94;241;109
2023-04-16 03:32:51;94;241;109
2023-04-16 04:02:50;94;241;109
2023-04-16 04:32:49;94;241;109
2023-04-16 05:02:52;94;241;109
2023-04-16 05:32:51;94;241;109
2023-04-16 06:02:49;94;241;109
2023-04-16 06:32:51;94;241;109
2023-04-16 07:02:49;94;241;109
2023-04-16 07:32:50;94;241;109
2023-04-16 08:02:48;93;241;109
2023-04-16 08:32:50;94;241;109
2023-04-16 09:02:52;94;241;109
2023-04-16 09:32:55;94;241;109
2023-04-16 10:02:57;94;242;108
2023-04-16 10:32:57;94;242;108
2023-04-16 11:02:58;94;242;108
2023-04-16 11:32:54;94;242;108
2023-04-16 12:02:57;94;242;108
2023-04-16 12:32:56;94;242;108
2023-04-16 13:02:54;94;242;108
2023-04-16 13:32:51;94;242;108
