datetime;bateria;nivel;dist
2023-05-03 17:57:35;99;2;144
2023-05-03 17:58:04;99;2;144
2023-05-03 17:59:15;99;2;144
2023-05-03 18:00:10;99;2;144
2023-05-03 18:01:11;99;2;144
2023-05-03 18:02:11;99;2;144
2023-05-03 18:03:12;99;2;144
2023-05-03 18:04:38;99;2;144
2023-05-03 18:05:01;99;2;144
2023-05-03 18:06:17;99;2;144
2023-05-03 18:07:13;99;2;144
2023-05-03 18:08:13;99;2;144
2023-05-03 18:09:14;99;2;144
2023-05-03 18:10:09;99;2;144
2023-05-03 18:11:14;99;2;144
2023-05-03 18:12:10;99;2;144
2023-05-03 18:13:10;99;2;144
2023-05-03 18:14:10;99;2;144
2023-05-03 18:15:11;99;2;144
2023-05-03 18:16:11;99;2;144
2023-05-03 18:17:12;99;2;144
2023-05-03 18:18:12;99;2;144
2023-05-03 18:19:13;99;2;144
2023-05-03 18:20:13;99;2;144
2023-05-03 18:21:13;99;2;144
2023-05-03 18:22:09;99;2;144
2023-05-03 18:23:14;99;2;144
2023-05-03 18:24:09;99;1;145
2023-05-03 18:25:10;99;1;145
2023-05-03 18:26:10;99;2;144
2023-05-03 18:27:11;99;2;144
2023-05-03 18:28:11;99;2;144
2023-05-03 18:29:12;99;1;145
2023-05-03 18:30:12;99;1;145
2023-05-03 18:31:12;99;2;144
2023-05-03 18:32:13;99;2;144
2023-05-03 18:33:13;99;2;144
2023-05-03 18:34:14;99;2;144
2023-05-03 18:35:09;99;1;145
2023-05-03 18:36:14;99;1;145
2023-05-03 18:37:09;99;2;144
2023-05-03 18:38:15;99;2;144
2023-05-03 18:39:10;99;2;144
2023-05-03 18:40:11;99;1;145
2023-05-03 18:41:11;99;1;145
2023-05-03 18:42:11;99;2;144
2023-05-03 18:43:12;99;1;145
2023-05-03 18:44:12;99;1;145
2023-05-03 18:45:12;99;1;145
2023-05-03 18:46:13;99;1;145
2023-05-03 18:47:13;99;1;145
2023-05-03 18:48:14;99;1;145
2023-05-03 18:49:09;99;1;145
2023-05-03 18:50:14;99;1;145
2023-05-03 18:51:09;99;1;145
2023-05-03 18:52:10;99;1;145
2023-05-03 18:53:10;99;1;145
2023-05-03 18:54:11;99;1;145
2023-05-03 18:55:11;99;1;145
2023-05-03 18:56:11;99;1;145
2023-05-03 18:57:12;99;1;145
2023-05-03 18:58:12;99;1;145
2023-05-03 18:59:12;99;1;145
2023-05-03 19:00:13;99;1;145
2023-05-03 19:01:13;99;1;145
2023-05-03 19:02:13;99;1;145
2023-05-03 19:03:09;99;1;145
2023-05-03 19:04:14;99;1;145
2023-05-03 19:05:09;99;1;145
2023-05-03 19:06:15;99;1;145
2023-05-03 19:07:10;99;1;145
2023-05-03 19:08:10;99;1;145
2023-05-03 19:09:11;99;1;145
2023-05-03 19:10:11;99;1;145
2023-05-03 19:11:11;99;1;145
2023-05-03 19:12:12;99;1;145
2023-05-03 19:13:12;99;1;145
2023-05-03 19:14:12;99;1;145
2023-05-03 19:15:13;99;1;145
2023-05-03 19:16:13;99;1;145
2023-05-03 19:17:13;99;1;145
2023-05-03 19:18:14;99;1;145
2023-05-03 19:19:09;99;1;145
2023-05-03 19:20:14;99;1;145
2023-05-03 19:21:09;99;1;145
2023-05-03 19:22:15;99;1;145
2023-05-03 19:23:10;99;1;145
2023-05-03 19:24:10;99;1;145
2023-05-03 19:25:11;99;1;145
2023-05-03 19:26:11;99;1;145
2023-05-03 19:27:11;99;1;145
2023-05-03 19:28:11;99;1;145
2023-05-03 19:29:12;99;1;145
2023-05-03 19:30:12;99;1;145
2023-05-03 19:31:12;99;1;145
2023-05-03 19:32:13;99;1;145
2023-05-03 19:33:13;99;1;145
2023-05-03 19:34:13;99;1;145
2023-05-03 19:35:14;99;1;145
2023-05-03 19:36:09;99;1;145
2023-05-03 19:37:14;99;1;145
2023-05-03 19:38:09;99;1;145
2023-05-03 19:39:15;99;1;145
2023-05-03 19:40:10;99;1;145
2023-05-03 19:41:10;99;1;145
2023-05-03 19:42:10;99;1;145
2023-05-03 19:43:11;99;1;145
2023-05-03 19:44:11;99;1;145
2023-05-03 19:45:11;99;1;145
2023-05-03 19:46:12;99;1;145
2023-05-03 19:47:12;99;1;145
2023-05-03 19:48:12;99;1;145
2023-05-03 19:49:12;99;1;145
2023-05-03 19:50:13;99;1;145
2023-05-03 19:51:13;99;1;145
2023-05-03 19:52:13;99;1;145
2023-05-03 19:53:14;99;1;145
2023-05-03 19:54:09;99;1;145
2023-05-03 19:55:14;99;1;145
2023-05-03 19:56:09;99;1;145
2023-05-03 19:57:15;99;1;145
2023-05-03 19:58:10;99;1;145
