datetime;bateria;nivel;dist
2023-10-30 13:33:15;99;3;143
2023-10-30 13:34:10;99;3;143
2023-10-30 13:35:11;99;3;143
2023-10-30 13:36:11;99;3;143
2023-10-30 13:37:12;99;3;143
2023-10-30 13:38:12;99;3;143
2023-10-30 13:39:13;99;3;143
2023-10-30 13:40:13;99;2;144
2023-10-30 13:41:14;99;3;143
2023-10-30 13:42:09;99;3;143
2023-10-30 13:43:15;99;3;143
2023-10-30 13:44:10;99;3;143
2023-10-30 13:45:11;99;3;143
2023-10-30 13:46:11;99;2;144
2023-10-30 13:47:12;99;3;143
2023-10-30 13:48:12;99;3;143
2023-10-30 13:49:13;99;3;143
2023-10-30 13:50:14;99;3;143
2023-10-30 13:51:09;99;3;143
2023-10-30 13:52:15;99;3;143
2023-10-30 13:53:10;99;3;143
2023-10-30 13:54:10;99;3;143
2023-10-30 13:55:11;99;3;143
2023-10-30 13:56:12;99;3;143
2023-10-30 13:57:12;99;3;143
2023-10-30 13:58:13;99;3;143
2023-10-30 13:59:13;99;3;143
2023-10-30 14:00:14;99;3;143
2023-10-30 14:01:09;99;2;144
2023-10-30 14:02:15;99;3;143
2023-10-30 14:03:10;99;3;143
2023-10-30 14:04:11;99;3;143
2023-10-30 14:05:11;99;3;143
2023-10-30 14:06:12;99;3;143
2023-10-30 14:07:12;99;3;143
2023-10-30 14:08:13;99;3;143
2023-10-30 14:09:13;99;3;143
2023-10-30 14:10:14;99;3;143
2023-10-30 14:11:09;99;3;143
2023-10-30 14:12:15;99;3;143
2023-10-30 14:13:10;99;3;143
2023-10-30 14:14:11;99;3;143
2023-10-30 14:15:11;99;3;143
2023-10-30 14:16:12;99;3;143
2023-10-30 14:17:12;99;3;143
2023-10-30 14:18:13;99;3;143
2023-10-30 14:19:13;99;3;143
2023-10-30 14:20:14;99;3;143
2023-10-30 14:21:09;99;3;143
2023-10-30 14:22:15;99;3;143
2023-10-30 14:23:10;99;3;143
2023-10-30 14:24:10;99;3;143
2023-10-30 14:25:11;99;3;143
2023-10-30 14:26:11;99;3;143
2023-10-30 14:27:12;99;3;143
2023-10-30 14:28:12;99;2;144
2023-10-30 14:29:13;99;3;143
2023-10-30 14:30:13;99;3;143
2023-10-30 14:31:14;99;3;143
2023-10-30 14:32:09;99;3;143
2023-10-30 14:33:15;99;3;143
2023-10-30 14:34:10;99;3;143
2023-10-30 14:35:11;99;3;143
2023-10-30 14:36:11;99;3;143
2023-10-30 14:37:12;99;3;143
2023-10-30 14:38:12;99;3;143
2023-10-30 14:39:13;99;3;143
2023-10-30 14:40:13;99;3;143
2023-10-30 14:41:14;99;3;143
2023-10-30 14:42:09;99;2;144
2023-10-30 14:43:15;99;3;143
2023-10-30 14:44:10;99;3;143
2023-10-30 14:45:10;99;3;143
2023-10-30 14:46:11;99;3;143
2023-10-30 14:47:11;99;3;143
2023-10-30 14:48:12;99;3;143
2023-10-30 14:49:12;99;3;143
2023-10-30 14:50:13;99;3;143
2023-10-30 14:51:13;99;3;143
2023-10-30 14:52:14;99;3;143
2023-10-30 14:53:09;99;3;143
2023-10-30 14:54:15;99;3;143
2023-10-30 14:55:10;99;3;143
2023-10-30 14:56:11;99;3;143
2023-10-30 14:57:11;99;4;142
2023-10-30 14:58:12;99;4;142
2023-10-30 14:59:12;99;4;142
2023-10-30 15:00:13;99;4;142
2023-10-30 15:01:13;99;4;142
2023-10-30 15:02:14;99;3;143
2023-10-30 15:03:09;99;3;143
2023-10-30 15:04:15;99;3;143
2023-10-30 15:05:10;99;3;143
2023-10-30 15:06:10;99;3;143
2023-10-30 15:07:11;99;3;143
2023-10-30 15:08:11;99;3;143
2023-10-30 15:09:12;99;2;144
2023-10-30 15:10:12;99;2;144
2023-10-30 15:11:13;99;3;143
2023-10-30 15:12:13;99;3;143
2023-10-30 15:13:09;99;3;143
2023-10-30 15:14:14;99;3;143
2023-10-30 15:15:10;99;3;143
2023-10-30 15:16:10;99;3;143
2023-10-30 15:17:11;99;3;143
2023-10-30 15:18:11;99;3;143
2023-10-30 15:19:12;99;3;143
2023-10-30 15:20:12;99;3;143
2023-10-30 15:21:13;99;3;143
2023-10-30 15:22:13;99;3;143
2023-10-30 15:23:14;99;3;143
2023-10-30 15:24:09;99;3;143
2023-10-30 15:25:15;99;3;143
2023-10-30 15:26:10;99;2;144
2023-10-30 15:27:11;99;3;143
2023-10-30 15:28:11;99;3;143
2023-10-30 15:29:12;99;3;143
2023-10-30 15:30:12;99;3;143
2023-10-30 15:31:13;99;2;144
2023-10-30 15:32:13;99;3;143
2023-10-30 15:33:14;99;3;143
2023-10-30 15:34:09;99;3;143
2023-10-30 15:35:15;99;3;143
2023-10-30 15:36:10;99;3;143
2023-10-30 15:37:10;99;3;143
2023-10-30 15:38:11;99;3;143
2023-10-30 15:39:11;99;3;143
2023-10-30 15:40:12;99;3;143
2023-10-30 15:41:12;99;3;143
2023-10-30 15:42:13;99;3;143
2023-10-30 15:43:13;99;3;143
2023-10-30 15:44:14;99;3;143
2023-10-30 15:45:09;99;3;143
2023-10-30 15:46:15;99;3;143
2023-10-30 15:47:10;99;3;143
2023-10-30 15:48:11;99;3;143
2023-10-30 15:49:11;99;3;143
2023-10-30 15:50:12;99;3;143
2023-10-30 15:51:12;99;2;144
2023-10-30 15:52:13;99;3;143
2023-10-30 15:53:13;99;3;143
2023-10-30 15:54:14;99;3;143
2023-10-30 15:55:09;99;3;143
2023-10-30 15:56:15;99;3;143
2023-10-30 15:57:10;99;3;143
2023-10-30 15:58:10;99;3;143
2023-10-30 15:59:11;99;3;143
2023-10-30 16:00:11;99;3;143
2023-10-30 16:01:12;99;3;143
2023-10-30 16:02:12;99;3;143
2023-10-30 16:03:13;99;3;143
2023-10-30 16:04:13;99;3;143
2023-10-30 16:05:14;99;3;143
2023-10-30 16:06:09;99;3;143
2023-10-30 16:07:15;99;3;143
2023-10-30 16:08:10;99;3;143
2023-10-30 16:09:10;99;3;143
2023-10-30 16:10:11;99;3;143
2023-10-30 16:11:11;99;3;143
2023-10-30 16:12:12;99;3;143
2023-10-30 16:13:12;99;2;144
2023-10-30 16:14:13;99;3;143
2023-10-30 16:15:13;99;3;143
2023-10-30 16:16:14;99;3;143
2023-10-30 16:17:09;99;3;143
2023-10-30 16:18:15;99;3;143
2023-10-30 16:19:10;99;3;143
2023-10-30 16:20:10;99;2;144
2023-10-30 16:21:11;99;3;143
2023-10-30 16:22:11;99;4;142
2023-10-30 16:23:12;99;3;143
2023-10-30 16:24:12;99;3;143
2023-10-30 16:25:13;99;2;144
2023-10-30 16:26:13;99;3;143
